Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.01     0.00       50     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, unsigned long, int const&)
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_M_erase_at_end(int*)
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_Temporary_value::_M_val()
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_Temporary_value::_Storage::_Storage()
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_Temporary_value::_Storage::~_Storage()
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_Temporary_value::_Temporary_value<int const&>(std::vector<int, std::allocator<int> >*, int const&)
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::_Temporary_value::~_Temporary_value()
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  0.00      1.01     0.00       50     0.00     0.00  std::vector<int, std::allocator<int> >::resize(unsigned long, int const&)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__copy_move_a<true, int*, int*>(int*, int*, int*)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__copy_move_a1<true, int*, int*>(int*, int*, int*)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  0.00      1.01     0.00       50     0.00     0.00  int* std::uninitialized_copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  0.00      1.01     0.00       50     0.00     0.00  int* std::__uninitialized_move_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      1.01     0.00       50     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  0.00      1.01     0.00       50     0.00     0.00  void std::fill<int*, int>(int*, int*, int const&)
  0.00      1.01     0.00       50     0.00     0.00  operator new(unsigned long, void*)
  0.00      1.01     0.00       15     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      1.01     0.00        8     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      1.01     0.00        7     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      1.01     0.00        7     0.00     0.00  std::__cxx11::to_string(int)
  0.00      1.01     0.00        7     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      1.01     0.00        7     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      1.01     0.00        6     0.00     0.00  std::allocator<double>::~allocator()
  0.00      1.01     0.00        6     0.00     0.00  std::__new_allocator<double>::~__new_allocator()
  0.00      1.01     0.00        4     0.00     0.00  int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)
  0.00      1.01     0.00        4     0.00     0.00  std::__new_allocator<double>::_M_max_size() const
  0.00      1.01     0.00        4     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      1.01     0.00        4     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      1.01     0.00        4     0.00     0.00  std::__new_allocator<double>::__new_allocator(std::__new_allocator<double> const&)
  0.00      1.01     0.00        4     0.00     0.00  std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int)
